Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken,Obstacles
Normal,2,0,0,12,103.92041210015573,64,92.88105861229593,66,2929,8.696031093597412,19
Spaced,2,0,0.5,12,100.27641647907313,56,89.77418978472144,58,1181,4.193596601486206,19
Greedy,2,0.37,0,12,94.09932866439244,54,84.79920595544493,56,1367,3.797903299331665,19
Speedy,2,0.37,0.5,12,108.1549373694798,61,96.39331675844322,63,2810,14.10085391998291,19
Normal,2,0,0,12,101.28694929776317,61,92.60326950880669,63,2942,8.290529727935791,19
Spaced,2,0,0.5,12,91.04415846352025,53,84.84167437386064,55,2058,7.702361822128296,19
Greedy,2,0.37,0,12,97.60085963927476,53,91.3948975279004,55,493,1.253070592880249,19
Speedy,2,0.37,0.5,12,99.66902994905861,52,92.93954904747429,54,530,2.0693705081939697,19
Normal,2,0,0,12,101.81779829810004,64,93.43081201591004,66,4520,15.794589281082153,19
Spaced,2,0,0.5,12,99.4267942634773,59,90.96250417929906,61,2365,9.17758297920227,19
Greedy,2,0.37,0,12,97.86941023204213,54,89.50407348979054,56,1006,2.4804306030273438,19
Speedy,2,0.37,0.5,12,115.83128064044695,66,101.63416715547478,68,1542,6.6226348876953125,19
Normal,2,0,0,12,102.6328517134467,60,94.64847814090601,62,3741,11.95865535736084,19
Spaced,2,0,0.5,12,92.03288415794768,48,85.71841093012479,50,1411,5.0286455154418945,19
Greedy,2,0.37,0,12,102.32231477344581,59,93.99082717651233,61,715,2.0464487075805664,19
Speedy,2,0.37,0.5,12,113.94810340942584,68,101.93902978242559,70,2674,13.241159915924072,19
Normal,2,0,0,12,97.68565175380061,54,88.83443453299654,56,1241,3.0551300048828125,19
Spaced,2,0,0.5,12,104.20181879870685,59,95.83861462934635,61,1893,6.714375972747803,19
Greedy,2,0.37,0,12,105.96446113160636,63,98.83380570986536,65,2612,8.39711594581604,19
Speedy,2,0.37,0.5,12,91.5297370088456,50,84.81557100559957,52,557,2.4673900604248047,19
Normal,2,0,0,12,102.8455082440994,60,92.7777041275782,62,3372,9.915881395339966,19
Spaced,2,0,0.5,12,94.37038289712929,55,88.0514318390685,57,2312,8.731549263000488,19
Greedy,2,0.37,0,12,116.7662798287544,64,106.45074583700865,66,839,2.1799087524414062,19
Speedy,2,0.37,0.5,12,90.892746278609,48,83.82473253337696,50,387,1.7202842235565186,19
Normal,2,0,0,12,99.80880641556162,63,91.65837832435234,65,4181,13.812018394470215,19
Spaced,2,0,0.5,12,106.24633426087186,57,98.51915676213841,59,1072,3.5074751377105713,19
Greedy,2,0.37,0,12,98.61729543508295,53,89.83565231481687,55,1435,3.581958055496216,19
Speedy,2,0.37,0.5,12,101.8871509783466,60,90.91323616922703,62,2201,10.275044202804565,19
Normal,2,0,0,12,104.84743632658673,67,92.36495576529093,69,3783,12.35676121711731,19
Spaced,2,0,0.5,12,99.97015265297095,57,90.08492986448405,59,1588,5.722350835800171,19
Greedy,2,0.37,0,12,108.40983646394484,64,99.56329875693999,66,3969,15.507210731506348,19
Speedy,2,0.37,0.5,12,93.373518722496,51,87.35374067699705,53,577,2.269826889038086,19
Normal,2,0,0,12,94.35986288186203,56,88.25301047039284,58,2055,4.961148023605347,19
Spaced,2,0,0.5,12,108.10147341017549,62,95.66303553244173,64,2086,7.952489614486694,19
Greedy,2,0.37,0,12,93.45410809533671,52,85.38826286935333,54,1667,4.375510215759277,19
Speedy,2,0.37,0.5,12,107.9220877517857,61,98.5445122836352,63,2166,10.326017141342163,19
Normal,2,0,0,12,109.72929732931141,61,98.41544233301778,63,1771,4.276422023773193,19
Spaced,2,0,0.5,12,113.91870932031708,64,98.40249525536916,66,1992,7.482378721237183,19
Greedy,2,0.37,0,12,103.31375493222204,56,96.4860948994551,58,1764,4.75030517578125,19
Speedy,2,0.37,0.5,12,92.02717614339348,50,84.82038670180907,52,450,1.897705316543579,19
Normal,2,0,0,12,99.94836173544044,58,91.83230653736982,60,2903,7.9359588623046875,19
Spaced,2,0,0.5,12,94.90776927804261,52,84.16429997144193,54,937,3.086679697036743,19
Greedy,2,0.37,0,12,111.01787947211152,60,103.14550714111486,62,608,1.5436360836029053,19
Speedy,2,0.37,0.5,12,98.48615931689932,56,90.31017235211608,58,1475,6.092009544372559,19
Normal,2,0,0,12,102.0088443925577,57,91.2214077311302,59,2206,5.487494945526123,19
Spaced,2,0,0.5,12,111.04061957906707,63,99.97390445000732,65,1782,6.506671905517578,19
