Type,Step Size,Goal Bias,Spacing,Steepness,Path Length,Path Nodes,Smooth Length,Smooth Nodes,Total Nodes,Time Taken
Normal,2,0.0,0,12,50.85859428393186,27,46.59652629256104,29,644,0.9539902210235596
Normal,2,0.0,0,12,46.0,24,43.97622111249723,26,81,0.03460884094238281
Normal,2,0.0,0,12,50.195891605319616,28,44.24921933029372,30,139,0.07603001594543457
Normal,2,0.0,0,12,53.04056273193199,28,48.92398205734184,30,258,0.14905142784118652
Normal,2,0.0,0,12,47.99999999999999,25,46.61692208960995,27,85,0.03553366661071777
Normal,2,0.0,0,12,52.0,27,48.058742835090015,29,89,0.03572511672973633
Normal,2,0.0,0,12,41.999999999999986,22,39.707850153497795,24,82,0.03485727310180664
Normal,2,0.0,0,12,47.726826711364424,25,43.64419081619812,27,250,0.14018654823303223
Normal,2,0.0,0,12,49.7398705655292,26,46.90202351232426,28,170,0.08732175827026367
Normal,2,0.0,0,12,46.0,24,42.96440237538096,26,80,0.03316521644592285
Normal,2,0.0,0,12,54.5865095983051,31,50.110341218477224,33,1105,0.9889559745788574
Normal,2,0.0,0,12,51.99999999999999,27,49.02824828186782,29,84,0.035649776458740234
Normal,2,0.0,0,12,44.0,23,41.138992682577516,25,67,0.02641892433166504
Normal,2,0.0,0,12,42.00000000000001,22,39.05351245923419,24,58,0.02153491973876953
Normal,2,0.0,0,12,48.0,25,43.370172005575164,27,153,0.07231593132019043
Normal,2,0.0,0,12,45.18281225806988,26,42.82223316772403,28,585,0.42301416397094727
Normal,2,0.0,0,12,49.84603937494613,28,44.162343556189626,30,1021,0.8726131916046143
Normal,2,0.0,0,12,53.12091821363527,28,49.60151085149512,30,77,0.03660273551940918
Normal,2,0.0,0,12,54.528494687273046,29,50.70584440959681,31,403,0.23794937133789062
Normal,2,0.0,0,12,47.7530178173633,26,43.85036539712299,28,392,0.2474968433380127
Normal,2,0.0,0,12,48.0,25,44.91870310485776,27,76,0.03319883346557617
Normal,2,0.0,0,12,44.000000000000014,23,40.84490801585742,25,80,0.03606534004211426
Normal,2,0.0,0,12,45.064760511366494,24,41.5233072355809,26,347,0.21497607231140137
Normal,2,0.0,0,12,46.0,24,43.37342211892719,26,105,0.04874134063720703
Normal,2,0.0,0,12,45.10341433072112,24,43.160084148068414,26,489,0.32386326789855957
Normal,2,0.0,0,12,48.0,25,45.099384341096176,27,97,0.046637773513793945
Normal,2,0.0,0,12,47.999999999999986,25,43.71211177428973,27,106,0.047330379486083984
Normal,2,0.0,0,12,46.0,24,41.836124060581504,26,75,0.041040897369384766
Normal,2,0.0,0,12,47.43154611139829,25,44.96077553988442,27,204,0.11174130439758301
Normal,2,0.0,0,12,52.84597060584384,28,49.331356794642645,30,167,0.08908486366271973
Normal,2,0.0,0,12,63.571548652581825,33,57.278844311446605,35,199,0.11342215538024902
Normal,2,0.0,0,12,44.72030207751365,24,42.87838450151502,26,482,0.3220183849334717
Normal,2,0.0,0,12,42.0,22,39.97443520635502,24,54,0.020570039749145508
Normal,2,0.0,0,12,46.78718122321343,25,43.87808360218722,27,147,0.07393932342529297
Normal,2,0.0,0,12,45.565724032699904,24,42.022068035455575,26,108,0.05243992805480957
Normal,2,0.0,0,12,44.0,23,40.927574595906506,25,81,0.0368199348449707
Normal,2,0.0,0,12,48.0,25,44.95994812006872,27,71,0.03711557388305664
Normal,2,0.0,0,12,47.612170009994244,25,43.92809614899533,27,79,0.0346522331237793
Normal,2,0.0,0,12,53.07846920826395,28,50.47634013479186,30,351,0.20962285995483398
Normal,2,0.0,0,12,44.967060306079624,25,42.52247797411217,27,385,0.22618770599365234
Normal,2,0.0,0,12,54.0,28,50.75772352286191,30,83,0.03873610496520996
Normal,2,0.0,0,12,45.99999999999999,24,42.46407429585988,26,136,0.06391334533691406
Normal,2,0.0,0,12,40.00000000000001,21,38.32007968174102,23,66,0.02929830551147461
Normal,2,0.0,0,12,46.00000000000001,24,43.48437808690193,26,67,0.026797771453857422
Normal,2,0.0,0,12,46.000000000000014,24,44.05407637395992,26,82,0.03633403778076172
Normal,2,0.0,0,12,53.16582254359949,28,48.11963552370409,30,97,0.04787325859069824
Normal,2,0.0,0,12,50.801109443931345,27,48.54469718186168,29,368,0.2203054428100586
Normal,2,0.0,0,12,53.68574387956792,28,47.90714376490238,30,96,0.04439687728881836
Normal,2,0.0,0,12,47.85355564310065,25,45.10018332704641,27,198,0.10574007034301758
Normal,2,0.0,0,12,50.533481421514125,27,45.84544182874879,29,731,0.5681660175323486
Normal,2,0.0,0,12,48.65953442866051,27,44.948726991717436,29,622,0.42129993438720703
Normal,2,0.0,0,12,46.640981446983965,26,44.87529995604454,28,416,0.2650623321533203
Normal,2,0.0,0,12,47.619401260238305,27,43.61305157487139,29,828,0.6206569671630859
Normal,2,0.0,0,12,52.61487308349148,29,47.85353284112647,31,454,0.27301526069641113
